source,target,color
58468,59580,4
58468,59605,4
58468,59646,4
58468,60681,4
58468,60704,4
58468,60718,4
58468,58490,4
59580,60751,4
59580,60752,4
59580,62067,4
59580,59581,4
59580,59590,4
59605,59646,4
59605,60681,4
59605,60704,4
59605,58481,4
59605,58492,4
59605,58493,4
59605,63224,4
59605,58490,4
59605,58469,4
59605,58491,4
59605,58508,4
59605,58510,4
59605,58511,4
59605,59589,4
59605,59626,4
59605,59627,4
59605,59628,4
59605,59647,4
59605,59648,4
59605,59658,4
59605,59659,4
59605,60686,4
59605,60719,4
59605,60766,4
59605,60767,4
59605,60769,4
59605,60778,4
59605,62003,4
59605,62012,4
59605,62024,4
59605,62042,4
59605,62056,4
59605,62068,4
59605,62070,4
59605,62081,4
59605,62083,4
59605,62084,4
59605,63233,4
59605,63264,4
59605,64359,4
59605,66593,4
59605,66594,4
59605,66653,4
59605,67621,4
59605,67665,4
59605,67676,4
59605,76241,4
59605,81208,4
59605,81209,4
59605,60742,4
59605,60738,4
59605,59590,4
59605,60741,4
59605,59656,4
59605,195970,10
59646,63224,4
59646,58490,4
59646,58508,4
59646,59626,4
59646,59627,4
59646,59628,4
59646,59647,4
59646,59648,4
59646,59658,4
59646,59659,4
59646,60719,4
59646,60766,4
59646,60769,4
59646,62012,4
59646,62056,4
59646,62068,4
59646,62081,4
59646,62083,4
59646,62084,4
59646,63233,4
59646,60742,4
59646,60755,4
59646,70880,4
59646,60751,4
59646,59581,4
59646,60738,4
59646,63242,4
59646,64358,4
59646,64369,4
59646,64370,4
59646,60741,4
59646,75294,4
59646,60753,4
59646,60754,4
59646,60757,4
59646,60779,4
59646,62055,4
59646,62069,4
59646,62082,4
59646,62098,4
59646,63241,4
59646,63263,4
59646,64350,4
59646,64378,4
59646,65507,4
59646,65550,4
59646,69818,4
59646,75309,4
59646,76395,4
59646,79286,4
59646,203418,4
59646,204357,4
59646,204358,4
59646,208097,10
59646,208098,10
59646,208112,10
59646,209054,10
59646,209055,10
59646,209063,10
59646,209976,10
60681,60718,4
60681,58490,4
60681,60751,4
60681,60752,4
60681,62067,4
60681,59590,4
60681,59604,4
60681,59625,4
60704,60718,4
60704,58490,4
60704,59589,4
60704,60751,4
60704,62067,4
60704,59581,4
60704,59590,4
60704,59604,4
60704,59625,4
60704,62079,4
60704,62095,4
60704,63292,4
60704,60737,4
60704,60765,4
60704,62066,4
60718,63224,4
60718,58491,4
