xstart,ystart,zstart,xend,yend,zend,color
-15.4841,-7.1656,90.0882,-15.3656,-6.7323,89.9401,4
-15.4841,-7.1656,90.0882,-15.6379,-6.4762,87.8728,4
-15.4841,-7.1656,90.0882,-15.8749,-5.6724,86.0199,4
-15.4841,-7.1656,90.0882,-15.6273,-6.0082,90.3616,4
-15.4841,-7.1656,90.0882,-15.3661,-5.8364,87.9207,4
-15.4841,-7.1656,90.0882,-15.4552,-5.6691,87.0725,4
-15.4841,-7.1656,90.0882,-15.8752,-6.5611,87.7965,4
-15.3656,-6.7323,89.9401,-15.5754,-5.1216,85.6613,4
-15.3656,-6.7323,89.9401,-15.7473,-5.1813,85.4054,4
-15.3656,-6.7323,89.9401,-15.6122,-4.8414,85.2459,4
-15.3656,-6.7323,89.9401,-15.4465,-6.9573,89.4201,4
-15.3656,-6.7323,89.9401,-15.5422,-6.7561,88.7064,4
-15.6379,-6.4762,87.8728,-15.8749,-5.6724,86.0199,4
-15.6379,-6.4762,87.8728,-15.6273,-6.0082,90.3616,4
-15.6379,-6.4762,87.8728,-15.3661,-5.8364,87.9207,4
-15.6379,-6.4762,87.8728,-16.1548,-7.1119,89.2036,4
-15.6379,-6.4762,87.8728,-16.5999,-6.7215,88.9071,4
-15.6379,-6.4762,87.8728,-17.2668,-6.5091,89.2134,4
-15.6379,-6.4762,87.8728,-16.3963,-4.0919,90.0915,4
-15.6379,-6.4762,87.8728,-15.8752,-6.5611,87.7965,4
-15.6379,-6.4762,87.8728,-15.7454,-7.2611,89.6949,4
-15.6379,-6.4762,87.8728,-16.135,-6.7973,88.3733,4
-15.6379,-6.4762,87.8728,-15.9582,-6.4112,87.3662,4
-15.6379,-6.4762,87.8728,-16.6174,-6.4911,88.2616,4
-15.6379,-6.4762,87.8728,-16.9661,-6.4643,88.6925,4
-15.6379,-6.4762,87.8728,-15.3926,-6.4232,88.805,4
-15.6379,-6.4762,87.8728,-15.8072,-6.1081,86.958,4
-15.6379,-6.4762,87.8728,-16.1377,-6.2528,87.0964,4
-15.6379,-6.4762,87.8728,-16.6203,-6.1769,87.5683,4
-15.6379,-6.4762,87.8728,-16.0571,-5.9602,86.4074,4
-15.6379,-6.4762,87.8728,-16.461,-5.9044,86.8159,4
-15.6379,-6.4762,87.8728,-16.3769,-5.6281,86.1729,4
-15.6379,-6.4762,87.8728,-16.7227,-5.5893,86.5828,4
-15.6379,-6.4762,87.8728,-15.4149,-6.0122,89.3427,4
-15.6379,-6.4762,87.8728,-15.5948,-5.7692,86.7284,4
-15.6379,-6.4762,87.8728,-16.084,-5.0283,84.8541,4
-15.6379,-6.4762,87.8728,-16.4185,-4.8194,84.9286,4
-15.6379,-6.4762,87.8728,-17.4373,-4.222,85.39,4
-15.6379,-6.4762,87.8728,-16.545,-4.4726,84.6123,4
-15.6379,-6.4762,87.8728,-16.1863,-5.0158,90.8455,4
-15.6379,-6.4762,87.8728,-15.8385,-5.2165,89.6753,4
-15.6379,-6.4762,87.8728,-15.5662,-5.4002,88.8535,4
-15.6379,-6.4762,87.8728,-15.4551,-5.0981,87.2315,4
-15.6379,-6.4762,87.8728,-19.0423,-3.9188,87.1472,4
-15.6379,-6.4762,87.8728,-17.6753,-4.0367,85.5252,4
-15.6379,-6.4762,87.8728,-18.5116,-3.6567,86.4922,4
-15.6379,-6.4762,87.8728,-16.1188,-4.7324,84.5397,4
-15.6379,-6.4762,87.8728,-17.2876,-3.8567,84.8865,4
-15.6379,-6.4762,87.8728,-17.6526,-3.6362,85.3493,4
-15.6379,-6.4762,87.8728,-15.9832,-4.4073,88.7323,4
-15.6379,-6.4762,87.8728,-19.1531,-3.4291,87.2693,4
-15.6379,-6.4762,87.8728,-16.0989,-3.1912,87.8266,4
-15.6379,-6.4762,87.8728,-16.3819,-0.72522,87.5099,4
-15.6379,-6.4762,87.8728,-16.5041,-1.1985,88.0941,4
-15.6379,-6.4762,87.8728,-14.5334,-0.78094,82.9057,4
-15.6379,-6.4762,87.8728,-16.4254,-0.30501,87.5713,4
-15.6379,-6.4762,87.8728,-14.6529,-0.24986,83.1852,4
-15.6379,-6.4762,87.8728,-14.7132,-0.18509,82.6767,4
-15.6379,-6.4762,87.8728,-14.735,7.9811,83.9773,4
-15.6379,-6.4762,87.8728,-30.9962,13.2745,78.0172,4
-15.6379,-6.4762,87.8728,-31.5351,13.4037,78.7005,4
-15.6379,-6.4762,87.8728,-19.2433,-4.3075,87.6958,4
-15.6379,-6.4762,87.8728,-15.6877,-5.5361,86.1529,4
-15.6379,-6.4762,87.8728,-15.5422,-6.7561,88.7064,4
-15.6379,-6.4762,87.8728,-18.6708,-4.4566,87.2919,4
-15.6379,-6.4762,87.8728,-15.8941,-5.4614,85.595,4
-15.6379,-6.4762,87.8728,21.5503,-2.85,81.6569,10
-15.8749,-5.6724,86.0199,-16.3963,-4.0919,90.0915,4
-15.8749,-5.6724,86.0199,-15.8752,-6.5611,87.7965,4
-15.8749,-5.6724,86.0199,-15.9582,-6.4112,87.3662,4
-15.8749,-5.6724,86.0199,-15.8072,-6.1081,86.958,4
-15.8749,-5.6724,86.0199,-16.1377,-6.2528,87.0964,4
-15.8749,-5.6724,86.0199,-16.6203,-6.1769,87.5683,4
-15.8749,-5.6724,86.0199,-16.0571,-5.9602,86.4074,4
-15.8749,-5.6724,86.0199,-16.461,-5.9044,86.8159,4
-15.8749,-5.6724,86.0199,-16.3769,-5.6281,86.1729,4
-15.8749,-5.6724,86.0199,-16.7227,-5.5893,86.5828,4
-15.8749,-5.6724,86.0199,-15.5948,-5.7692,86.7284,4
-15.8749,-5.6724,86.0199,-16.084,-5.0283,84.8541,4
-15.8749,-5.6724,86.0199,-17.4373,-4.222,85.39,4
-15.8749,-5.6724,86.0199,-15.8385,-5.2165,89.6753,4
-15.8749,-5.6724,86.0199,-19.0423,-3.9188,87.1472,4
-15.8749,-5.6724,86.0199,-17.6753,-4.0367,85.5252,4
-15.8749,-5.6724,86.0199,-16.1188,-4.7324,84.5397,4
-15.8749,-5.6724,86.0199,-17.2876,-3.8567,84.8865,4
-15.8749,-5.6724,86.0199,-17.6526,-3.6362,85.3493,4
-15.8749,-5.6724,86.0199,-15.9832,-4.4073,88.7323,4
-15.8749,-5.6724,86.0199,-19.2433,-4.3075,87.6958,4
-15.8749,-5.6724,86.0199,-16.9844,-5.1701,86.1796,4
-15.8749,-5.6724,86.0199,-16.1258,2.9728,84.9321,4
-15.8749,-5.6724,86.0199,-15.5754,-5.1216,85.6613,4
-15.8749,-5.6724,86.0199,-15.4465,-6.9573,89.4201,4
-15.8749,-5.6724,86.0199,-15.6877,-5.5361,86.1529,4
-15.8749,-5.6724,86.0199,-15.6323,-4.3235,87.5476,4
-15.8749,-5.6724,86.0199,-15.875,-3.0763,87.1062,4
-15.8749,-5.6724,86.0199,-15.756,-2.7346,86.5518,4
-15.8749,-5.6724,86.0199,-16.0038,-2.7783,87.1951,4
-15.8749,-5.6724,86.0199,-18.6708,-4.4566,87.2919,4
-15.8749,-5.6724,86.0199,-27.666,6.757,76.1488,4
-15.8749,-5.6724,86.0199,-15.9506,-5.2968,85.2887,4
-15.8749,-5.6724,86.0199,-16.268,-5.3118,85.4776,4
-15.8749,-5.6724,86.0199,-18.2899,-4.2199,86.498,4
-15.8749,-5.6724,86.0199,-16.6381,-4.2301,84.4497,4
-15.8749,-5.6724,86.0199,-18.5464,-4.0565,86.6547,4
-15.8749,-5.6724,86.0199,-18.1142,-3.8372,85.9778,4
-15.8749,-5.6724,86.0199,-16.9054,-4.045,84.5167,4
-15.8749,-5.6724,86.0199,-16.5829,-3.795,84.0454,4
-15.8749,-5.6724,86.0199,-15.6786,-3.5554,86.9266,4
-15.8749,-5.6724,86.0199,-15.4136,-4.1304,85.7351,4
-15.8749,-5.6724,86.0199,-16.5556,-3.1051,89.309,4
-15.8749,-5.6724,86.0199,-15.3726,-2.8252,85.4108,4
-15.8749,-5.6724,86.0199,-16.8643,-1.8872,90.0499,4
-15.8749,-5.6724,86.0199,-15.1235,-1.961,84.7942,4
-15.8749,-5.6724,86.0199,-24.6313,3.197,83.4334,4
-15.8749,-5.6724,86.0199,-27.6864,7.0246,76.0704,4
-15.8749,-5.6724,86.0199,-22.7603,5.2064,74.8619,4
-15.8749,-5.6724,86.0199,-27.9002,7.8154,77.6357,4
-15.8749,-5.6724,86.0199,22.3058,3.2728,89.2217,4
-15.8749,-5.6724,86.0199,22.4226,3.9936,88.6406,4
-15.8749,-5.6724,86.0199,22.241,4.1451,89.8093,4
-15.8749,-5.6724,86.0199,29.6431,4.8729,80.8453,10
-15.8749,-5.6724,86.0199,27.9465,4.2059,80.9734,10
-15.8749,-5.6724,86.0199,28.2287,4.1074,80.056,10
-15.8749,-5.6724,86.0199,30.2001,6.9599,80.8847,10
-15.8749,-5.6724,86.0199,30.1413,6.6156,81.2992,10
-15.8749,-5.6724,86.0199,30.4211,7.6135,80.8534,10
-15.8749,-5.6724,86.0199,30.8154,8.5096,80.8606,10
-15.6273,-6.0082,90.3616,-15.4552,-5.6691,87.0725,4
-15.6273,-6.0082,90.3616,-15.8752,-6.5611,87.7965,4
-15.6273,-6.0082,90.3616,-15.5754,-5.1216,85.6613,4
-15.6273,-6.0082,90.3616,-15.7473,-5.1813,85.4054,4
-15.6273,-6.0082,90.3616,-15.6122,-4.8414,85.2459,4
-15.6273,-6.0082,90.3616,-15.5422,-6.7561,88.7064,4
-15.6273,-6.0082,90.3616,-15.4529,-6.2644,87.9295,4
-15.6273,-6.0082,90.3616,-15.5649,-6.0938,87.304,4
-15.3661,-5.8364,87.9207,-15.4552,-5.6691,87.0725,4
-15.3661,-5.8364,87.9207,-15.8752,-6.5611,87.7965,4
-15.3661,-5.8364,87.9207,-15.3926,-6.4232,88.805,4
-15.3661,-5.8364,87.9207,-15.5754,-5.1216,85.6613,4
-15.3661,-5.8364,87.9207,-15.6122,-4.8414,85.2459,4
-15.3661,-5.8364,87.9207,-15.4465,-6.9573,89.4201,4
-15.3661,-5.8364,87.9207,-15.5422,-6.7561,88.7064,4
-15.3661,-5.8364,87.9207,-15.4529,-6.2644,87.9295,4
-15.3661,-5.8364,87.9207,-15.5649,-6.0938,87.304,4
-15.3661,-5.8364,87.9207,-15.6218,-4.363,84.5816,4
-15.3661,-5.8364,87.9207,-15.597,-3.9722,83.9769,4
-15.3661,-5.8364,87.9207,-15.4663,-3.8082,84.0691,4
-15.3661,-5.8364,87.9207,-15.5188,-5.3008,86.2066,4
-15.3661,-5.8364,87.9207,-15.8655,-4.9152,84.8922,4
-15.3661,-5.8364,87.9207,-15.4863,-4.5883,85.3894,4
-15.4552,-5.6691,87.0725,-16.3963,-4.0919,90.0915,4
-15.4552,-5.6691,87.0725,-16.135,-6.7973,88.3733,4
-15.4552,-5.6691,87.0725,-15.9582,-6.4112,87.3662,4
-15.4552,-5.6691,87.0725,-16.6174,-6.4911,88.2616,4
-15.4552,-5.6691,87.0725,-16.9661,-6.4643,88.6925,4
-15.4552,-5.6691,87.0725,-15.8072,-6.1081,86.958,4
-15.4552,-5.6691,87.0725,-15.4149,-6.0122,89.3427,4
-15.4552,-5.6691,87.0725,-15.5948,-5.7692,86.7284,4
-15.4552,-5.6691,87.0725,-16.084,-5.0283,84.8541,4
-15.4552,-5.6691,87.0725,-16.1863,-5.0158,90.8455,4
