id,extid,group,bridgeness,influence,degree,x,y,z
0,58468,4,3.53483,7,11,-15.4841,-7.1656,90.0882
1,59580,4,0.00602,6,6,-15.3656,-6.7323,89.9401
2,59605,4,1.11716,55,56,-15.6379,-6.4762,87.8728
3,59646,4,7.98111,60,67,-15.8749,-5.6724,86.0199
4,60681,4,0.01004,10,10,-15.6273,-6.0082,90.3616
5,60704,4,0.01706,17,17,-15.3661,-5.8364,87.9207
6,60718,4,4.31616,32,36,-15.4552,-5.6691,87.0725
7,196989,10,21.80268,50,72,23.5543,-2.3098,83.3102
8,197934,23,13.01911,8,25,22.6953,-0.49961,89.4519
9,199000,23,3.39237,5,11,23.1177,-0.54699,88.24
10,199009,10,9.74761,17,27,23.1032,-0.70261,87.39
11,58480,4,0.00502,5,5,-15.7904,-6.8636,88.5935
12,58481,4,0.01004,10,10,-16.1548,-7.1119,89.2036
13,58492,4,0.89295,5,6,-16.5999,-6.7215,88.9071
14,58493,4,0.89296,5,6,-17.2668,-6.5091,89.2134
15,63224,4,8.43246,22,31,-16.3963,-4.0919,90.0915
16,58490,4,0.05018,50,50,-15.8752,-6.5611,87.7965
17,58469,4,0.00401,4,4,-15.7454,-7.2611,89.6949
18,58491,4,0.01706,17,17,-16.135,-6.7973,88.3733
19,58508,4,8.95978,18,33,-15.9582,-6.4112,87.3662
20,58510,4,9.95022,11,26,-16.6174,-6.4911,88.2616
21,58511,4,9.95022,11,26,-16.9661,-6.4643,88.6925
22,59589,4,0.01706,17,17,-15.3926,-6.4232,88.805
23,59626,4,9.56706,28,38,-15.8072,-6.1081,86.958
24,59627,4,6.55414,19,26,-16.1377,-6.2528,87.0964
25,59628,4,14.49063,18,40,-16.6203,-6.1769,87.5683
26,59647,4,20.98120,21,56,-16.0571,-5.9602,86.4074
27,59648,4,6.46847,19,27,-16.461,-5.9044,86.8159
28,59658,0,43.27717,36,89,-16.3769,-5.6281,86.1729
29,59659,0,28.22308,31,63,-16.7227,-5.5893,86.5828
30,60686,4,0.01606,16,16,-15.4149,-6.0122,89.3427
31,60719,4,13.55629,31,48,-15.5948,-5.7692,86.7284
32,60766,0,19.29155,54,72,-16.084,-5.0283,84.8541
33,60767,0,11.49375,41,50,-16.4185,-4.8194,84.9286
34,60769,0,36.98544,84,115,-17.4373,-4.222,85.39
35,60778,0,13.35655,41,51,-16.545,-4.4726,84.6123
36,62003,4,5.31594,11,17,-16.1863,-5.0158,90.8455
37,62012,4,0.02308,23,23,-15.8385,-5.2165,89.6753
38,62024,4,0.01505,15,15,-15.5662,-5.4002,88.8535
39,62042,4,0.01706,17,17,-15.4551,-5.0981,87.2315
40,62056,0,25.29356,61,81,-19.0423,-3.9188,87.1472
41,62068,0,15.63538,51,63,-17.6753,-4.0367,85.5252
42,62070,0,27.08992,61,84,-18.5116,-3.6567,86.4922
43,62081,0,19.21218,54,72,-16.1188,-4.7324,84.5397
44,62083,0,10.02452,85,93,-17.2876,-3.8567,84.8865
45,62084,0,17.79168,64,77,-17.6526,-3.6362,85.3493
46,63233,4,0.02408,24,24,-15.9832,-4.4073,88.7323
47,63264,0,28.38423,98,121,-19.1531,-3.4291,87.2693
48,64359,4,9.91468,32,44,-16.0989,-3.1912,87.8266
49,66593,11,4.62636,7,15,-16.3819,-0.72522,87.5099
50,66594,4,4.48291,9,15,-16.5041,-1.1985,88.0941
51,66653,3,16.61704,33,52,-14.5334,-0.78094,82.9057
52,67621,0,9.85121,24,31,-16.4254,-0.30501,87.5713
53,67665,0,8.26913,51,58,-14.6529,-0.24986,83.1852
54,67676,3,7.42416,17,24,-14.7132,-0.18509,82.6767
55,76241,0,19.19227,17,39,-14.735,7.9811,83.9773
56,81208,20,1.91930,9,11,-30.9962,13.2745,78.0172
57,81209,20,2.30462,11,13,-31.5351,13.4037,78.7005
58,81243,16,41.53423,45,94,-28.6054,11.9995,76.2433
59,59649,4,0.00602,6,6,-17.1399,-5.6057,87.2253
60,60739,0,0.37362,61,61,-17.3509,-5.3178,86.9209
61,58509,4,0.01204,12,12,-16.1759,-6.5172,87.7071
62,59629,4,0.45934,8,8,-17.4435,-6.0598,88.4521
63,60742,0,12.52933,34,44,-19.2433,-4.3075,87.6958
64,60755,0,32.41934,49,80,-16.9844,-5.1701,86.1796
65,67622,0,3.35331,24,26,-16.7732,-0.032803,88.3547
66,67630,0,1.99178,23,23,-16.5748,0.63649,87.5817
67,69828,0,6.24287,15,23,-15.2559,1.2342,83.2263
68,70880,0,5.35333,28,32,-16.1258,2.9728,84.9321
69,76400,16,5.81925,69,75,-27.6642,6.9315,75.8402
70,77427,16,0.04616,46,46,-27.5707,6.7953,75.8238
71,78408,16,9.43822,123,131,-27.7971,7.4298,76.0217
72,60751,4,0.05419,54,54,-15.5754,-5.1216,85.6613
73,60752,4,0.02308,23,23,-15.7473,-5.1813,85.4054
74,62067,4,0.05218,52,52,-15.6122,-4.8414,85.2459
75,59581,4,4.28122,13,18,-15.4465,-6.9573,89.4201
76,63214,10,4.00015,6,13,-16.575,-3.7997,91.4359
77,200074,23,0.00201,2,2,19.9936,0.11472,90.9803
78,200083,23,0.00903,9,9,22.4066,0.75413,88.751
79,200084,23,0.00903,9,9,21.727,0.70604,89.7194
80,200090,2,1.18428,3,4,22.7053,0.64733,87.8144
81,201151,23,0.00201,2,2,20.959,0.94098,90.4089
82,60695,4,0.01204,12,12,-15.3637,-5.8601,88.5696
83,60738,4,7.99741,71,78,-15.6877,-5.5361,86.1529
84,62033,4,0.01204,12,12,-15.5222,-5.2055,88.1085
85,59590,4,8.96413,28,37,-15.5422,-6.7561,88.7064
